logz,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6,lnprob,N_walkers
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1751,-1.9750,1.1302,1.2505,1.0893,1.2071,1.1741,1.0101,1.0224,-1475.8101,128
-0.1751,-1.9750,1.1302,1.2505,1.0893,1.2071,1.1741,1.0101,1.0224,-1475.8101,128
-0.1751,-1.9750,1.1302,1.2505,1.0893,1.2071,1.1741,1.0101,1.0224,-1475.8101,128
-0.1751,-1.9750,1.1302,1.2505,1.0893,1.2071,1.1741,1.0101,1.0224,-1475.8101,128
-0.1751,-1.9750,1.1302,1.2505,1.0893,1.2071,1.1741,1.0101,1.0224,-1475.8101,128
-0.1751,-1.9750,1.1302,1.2505,1.0893,1.2071,1.1741,1.0101,1.0224,-1475.8101,128
