nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix
2.0000e+03,5.3000e+02,6.6110e+03,7.9718e+00,-1.8543e+03,-1.8694e+03,-1.0515e+01,-1.8694e+03,5.4693e-01,1.5106e+01,5.2152e+02,-4.1101e-01,-1.0114e+00,3.0071e+00
2.0000e+03,5.3100e+02,6.6120e+03,7.9856e+00,-1.8541e+03,-1.8686e+03,-1.0535e+01,-1.8683e+03,5.2718e-01,1.4034e+01,5.1451e+02,-6.1133e-01,-9.6385e-01,2.9887e+00
2.0000e+03,5.3200e+02,6.6140e+03,7.9982e+00,-1.8457e+03,-1.8609e+03,-1.0555e+01,-1.8609e+03,5.4776e-01,1.5152e+01,5.1334e+02,-3.8744e-01,-1.0545e+00,3.0033e+00
2.0000e+03,5.3300e+02,6.6170e+03,8.0096e+00,-1.8436e+03,-1.8587e+03,-1.0575e+01,-1.8586e+03,5.3647e-01,1.4533e+01,5.0595e+02,-5.4082e-01,-9.9398e-01,2.9904e+00
2.0000e+03,5.3400e+02,6.6210e+03,8.0198e+00,-1.8346e+03,-1.8498e+03,-1.0594e+01,-1.8498e+03,5.4858e-01,1.5197e+01,5.0365e+02,-6.3853e-01,-9.4272e-01,2.9895e+00
2.0000e+03,5.3500e+02,6.6280e+03,8.0264e+00,-1.8323e+03,-1.8474e+03,-1.0614e+01,-1.8473e+03,5.3845e-01,1.4641e+01,4.9478e+02,-4.8571e-01,-1.0126e+00,3.0032e+00
2.0000e+03,5.3600e+02,6.6330e+03,8.0353e+00,-1.8223e+03,-1.8376e+03,-1.0634e+01,-1.8376e+03,5.4932e-01,1.5238e+01,4.9232e+02,-5.3790e-01,-9.5647e-01,3.0108e+00
2.0000e+03,5.3700e+02,6.6380e+03,8.0443e+00,-1.8213e+03,-1.8363e+03,-1.0654e+01,-1.8360e+03,5.3188e-01,1.4286e+01,4.8257e+02,-4.8579e-01,-9.7968e-01,3.0020e+00
2.0000e+03,5.3800e+02,6.6430e+03,8.0532e+00,-1.8204e+03,-1.8354e+03,-1.0674e+01,-1.8349e+03,5.2466e-01,1.3901e+01,4.8100e+02,-6.8418e-01,-9.0612e-01,2.9970e+00
2.0000e+03,5.3900e+02,6.6490e+03,8.0609e+00,-1.8192e+03,-1.8343e+03,-1.0693e+01,-1.8339e+03,5.2334e-01,1.3831e+01,4.7990e+02,-5.4767e-01,-9.6640e-01,3.0080e+00
2.0000e+03,5.4000e+02,6.6520e+03,8.0722e+00,-1.8075e+03,-1.8228e+03,-1.0713e+01,-1.8228e+03,5.5076e-01,1.5318e+01,5.3569e+02,-4.3339e-01,-1.0375e+00,3.0028e+00
2.0000e+03,5.4100e+02,6.6620e+03,8.0751e+00,-1.8072e+03,-1.8220e+03,-1.0733e+01,-1.8216e+03,5.3112e-01,1.4245e+01,5.2465e+02,-4.2898e-01,-1.0047e+00,3.0114e+00
2.0000e+03,5.4200e+02,6.6670e+03,8.0840e+00,-1.8059e+03,-1.8210e+03,-1.0753e+01,-1.8206e+03,5.2631e-01,1.3988e+01,5.2343e+02,-3.6469e-01,-1.0595e+00,3.0068e+00
2.0000e+03,5.4300e+02,6.6710e+03,8.0940e+00,-1.8043e+03,-1.8195e+03,-1.0773e+01,-1.8192e+03,5.2869e-01,1.4115e+01,5.2235e+02,-4.4543e-01,-1.0329e+00,2.9997e+00
2.0000e+03,5.4400e+02,6.6740e+03,8.1053e+00,-1.8015e+03,-1.8168e+03,-1.0792e+01,-1.8167e+03,5.4148e-01,1.4806e+01,5.2097e+02,-3.8154e-01,-1.0328e+00,3.0104e+00
2.0000e+03,5.4500e+02,6.6830e+03,8.1093e+00,-1.7974e+03,-1.8128e+03,-1.0812e+01,-1.8128e+03,5.4919e-01,1.5231e+01,5.1847e+02,-5.6433e-01,-9.6068e-01,2.9941e+00
2.0000e+03,5.4600e+02,6.6960e+03,8.1085e+00,-1.7873e+03,-1.8027e+03,-1.0832e+01,-1.8027e+03,5.5288e-01,1.5436e+01,5.1447e+02,-6.7708e-01,-9.3305e-01,2.9899e+00
2.0000e+03,5.4700e+02,6.7040e+03,8.1137e+00,-1.7832e+03,-1.7987e+03,-1.0852e+01,-1.7986e+03,5.5023e-01,1.5288e+01,5.0443e+02,-5.0556e-01,-1.0155e+00,2.9929e+00
