logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-5.8832e-01,-8.3997e-01,1.3062e+00,1.8101e+00,1.1089e+00,3.5458e+00,2.5696e+00,2.9597e+01,-1.7771e+03
-2.6254e-01,-1.3671e+00,1.4531e+00,2.2237e+00,2.0478e+00,3.7366e+00,3.0907e+00,3.0180e+01,-1.8186e+03
-5.3976e-01,-1.2550e+00,2.1174e+00,7.4766e-01,9.0611e-01,3.4615e+00,4.1228e+00,3.0907e+01,-1.5739e+03
-9.7087e-03,-1.9888e+00,1.8879e+00,2.3884e-01,3.3780e+00,3.6438e+00,3.0207e+00,3.0696e+01,-8.0350e+02
-3.4037e-01,-1.8113e+00,2.0100e+00,1.1136e-01,5.7542e-01,2.9938e+00,4.0167e+00,3.0452e+01,-2.0007e+03
-5.9681e-01,-1.5085e+00,1.7978e+00,1.3182e+00,1.4392e+00,2.7263e+00,4.0483e+00,3.0393e+01,-1.8776e+03
1.4635e-01,-1.3087e+00,6.5808e-01,2.3397e+00,1.7238e+00,3.3866e+00,3.1243e+00,2.9494e+01,-1.5934e+03
-1.3577e-03,-9.1441e-01,1.8092e+00,2.6755e+00,2.9949e+00,1.4435e+00,3.9923e+00,3.0520e+01,-1.2814e+03
-6.9096e-01,-1.0391e+00,1.6884e+00,1.9044e+00,9.0910e-01,3.3480e+00,3.6975e+00,3.0095e+01,-1.0682e+03
4.2818e-01,-1.9813e+00,1.7246e+00,1.8085e+00,3.4224e+00,3.0003e+00,3.5040e+00,3.0373e+01,-1.7829e+03
-3.2318e-01,-6.0931e-01,1.8310e+00,1.4010e+00,2.9488e+00,2.9824e+00,3.4620e+00,2.9798e+01,-1.3261e+03
4.4084e-01,-1.1562e+00,1.5807e+00,2.6987e+00,2.3851e+00,1.6528e+00,4.0113e+00,3.0265e+01,-9.9379e+02
