# Imag Bmag-Vmag
# F814W F555W-F814W
# Vega Mags
# Disk Gap region extracted from square X=[3000,3400), Y=[6000, 6400) from M51 image
23.640852 1.260844
23.646411 1.244637
23.628435 1.235568
23.658914 1.254721
23.646770 1.268817
23.645871 1.263292
23.678615 1.260135
23.665354 1.281034
23.717766 1.236093
23.724865 1.290867
23.700767 1.263042
23.697606 1.322430
23.733510 1.343389
23.804316 1.315891
23.848784 1.373341
23.870233 1.390350
23.843721 1.407419
23.812617 1.362983
23.772220 1.370491
23.751055 1.342844
23.742183 1.380249
23.745511 1.406397
23.764894 1.364287
23.749717 1.376027
23.736288 1.383580
23.784280 1.336156
23.811635 1.294702
23.763557 1.317960
23.742024 1.296653
23.706850 1.316937
23.724901 1.283091
23.718573 1.311749
23.711168 1.281863
23.750254 1.282685
23.793084 1.310692
23.850853 1.338028
23.916170 1.341836
23.943725 1.316328
23.895063 1.276704
23.816085 1.213889
23.685865 1.153288
23.604060 1.134599
23.595129 1.143203
23.618363 1.139744
23.624986 1.127199
23.658109 1.113147
23.685739 1.168109
23.679002 1.171954
23.650533 1.170826
23.631524 1.163546
23.647322 1.122650
23.643728 1.086096
23.621899 1.061160
23.634787 1.119503
23.636101 1.137689
23.637650 1.154758
23.654312 1.113431
23.701036 1.130880
23.701786 1.127876
23.653215 1.147461
23.617012 1.177965
23.631865 1.203227
23.698824 1.241742
23.739991 1.314135
23.799448 1.312957
23.833236 1.262948
23.805501 1.229906
23.742961 1.181785
23.685582 1.161582
23.636756 1.053892
23.550664 0.972142
