age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.1,11.9451,4.536,4.0154,-3.1991,-2.2959,-2.0609,-1.2718,-0.5957,0.0465,-3.1204,-2.7692,-3.285,-2.917
5.1,13.526,4.5578,4.1706,-3.2346,-2.5722,-2.3363,-1.5472,-0.8673,-0.2244,-3.4274,-3.0741,-3.686,-3.272
5.1,15.3486,4.5794,4.3235,-3.2677,-2.8262,-2.5906,-1.8052,-1.1243,-0.4824,-3.7002,-3.3479,-4.023,-3.568
5.1,17.8269,4.6039,4.4994,-3.3367,-3.095,-2.8593,-2.0769,-1.3952,-0.7541,-3.9856,-3.6326,-4.28,-3.821
5.1,20.4599,4.6257,4.657,-3.4234,-3.3194,-3.0823,-2.2985,-1.6149,-0.9731,-4.2256,-3.8683,-4.476,-4.011
5.1,23.6835,4.6476,4.8179,-3.2683,-3.5603,-3.3219,-2.5361,-1.8506,-1.208,-4.48,-4.1193,-4.683,-4.213
5.1,33.9777,4.697,5.192,-3.38,-4.2553,-4.0187,-3.2385,-2.5536,-1.913,-5.1878,-4.8375,-5.145,-4.655
5.1,44.0934,4.7271,5.4386,-3.6885,-4.735,-4.4981,-3.7178,-3.032,-2.3913,-5.6775,-5.3283,-6.08,-5.582
5.1,52.3696,4.7441,5.5882,-3.8112,-5.0211,-4.783,-4.0004,-3.3132,-2.6716,-5.9716,-5.6195,-6.331,-5.826
5.1,66.9106,4.7665,5.7945,-3.8757,-5.4071,-5.167,-4.3798,-3.6901,-3.0468,-6.37,-6.0118,-6.659,-6.141
5.1,86.1872,4.786,5.9932,-4.0719,-5.7801,-5.5381,-4.7466,-4.0547,-3.4097,-6.7542,-6.3903,-7.019,-6.486
5.1,104.2242,4.7985,6.1341,-4.1819,-6.0485,-5.8054,-5.0113,-4.318,-3.672,-7.0295,-6.6622,-7.33,-6.786
5.15,0.1066,3.5812,-0.6046,0.1359,7.9745,7.3353,6.0874,5.6275,5.3562,14.2716,11.0931,27.249,14.034
5.15,0.124,3.5888,-0.5003,-0.3843,7.6281,7.0133,5.8222,5.3801,5.1071,13.7216,10.657,27.063,13.849
5.15,0.1461,3.5978,-0.3758,-0.4634,7.2075,6.6254,5.5056,5.0856,4.8162,12.9821,10.0966,26.842,13.628
5.15,0.1722,3.6078,-0.2576,-0.5426,6.7917,6.2442,5.2025,4.8078,4.5469,12.2254,9.5244,25.577,13.109
5.15,0.2056,3.6196,-0.1342,-0.6034,6.3483,5.8371,4.8835,4.5198,4.2733,11.4368,8.9063,24.401,12.407
5.15,0.2512,3.6342,0.0067,-0.6694,5.8436,5.3727,4.5174,4.1946,3.9748,10.5255,8.1898,23.166,11.638
